DBUID,CSDUID,CSDNAME,CMAUID,CMANAME,PRUID,PRNAME,acs_idx_hf,acs_idx_emp,acs_idx_srf,acs_idx_psef,acs_idx_ef,acs_lvl_gs-1,acs_lvl_gs-3,acs_lvl_gs-5,acs_idx_caf
35200942003,3520005,Toronto,535.0,Toronto,35,ON,0.492052468,0.617260134,0.511128216,0.086632325,0.601686586,7.0,10.0,14.0,0.597073192
35200943001,3520005,Toronto,535.0,Toronto,35,ON,0.45488321,0.587172217,0.471431848,0.076106499,0.573456841,2.0,14.0,16.0,0.534142101
35200943002,3520005,Toronto,535.0,Toronto,35,ON,0.45421302,0.578762153,0.469375438,0.077787345,0.566072179,5.0,13.0,15.0,0.543671085
35200944001,3520005,Toronto,535.0,Toronto,35,ON,0.505645771,0.64158479,0.523400783,0.082680351,0.62321088,0.0,14.0,15.0,0.582720821
35200945001,3520005,Toronto,535.0,Toronto,35,ON,0.46102311,0.582359933,0.472840982,0.079570265,0.569518837,8.0,13.0,14.0,0.545322285
35200946001,3520005,Toronto,535.0,Toronto,35,ON,0.529446703,0.668521636,0.530933552,0.089033125,0.662209522,9.0,11.0,11.0,0.557998548
35200949001,3520005,Toronto,535.0,Toronto,35,ON,0.555696052,0.69670811,0.56225844,0.091663235,0.682224158,10.0,12.0,15.0,0.599652613
35200950001,3520005,Toronto,535.0,Toronto,35,ON,0.562803583,0.704604617,0.569427673,0.092285861,0.69131406,10.0,11.0,14.0,0.607753741
35200951001,3520005,Toronto,535.0,Toronto,35,ON,0.560254245,0.703337043,0.568839362,0.092285861,0.687669608,10.0,11.0,14.0,0.604478925
35200952002,3520005,Toronto,535.0,Toronto,35,ON,0.420661678,0.563203898,0.445629067,0.074414686,0.543994254,7.0,18.0,19.0,0.494206391
35200952003,3520005,Toronto,535.0,Toronto,35,ON,0.561992421,0.707001572,0.568928926,0.092947462,0.697829719,10.0,13.0,14.0,0.592001279
