DBUID,CSDUID,CSDNAME,CMAUID,CMANAME,PRUID,PRNAME,acs_idx_hf,acs_idx_emp,acs_idx_srf,acs_idx_psef,acs_idx_ef,acs_idx_caf,acs_lvl_gs-1,acs_lvl_gs-3,acs_lvl_gs-5
35204766002,3520005,Toronto,535.0,Toronto,35,ON,0.326844729,0.521691875,0.313297387,0.06500662,0.502972362,0.249268593,16.0,20.0,23.0
35204766003,3520005,Toronto,535.0,Toronto,35,ON,0.335569079,0.537722225,0.323338352,0.064850709,0.512927866,0.256605748,16.0,18.0,20.0
35204767001,3520005,Toronto,535.0,Toronto,35,ON,0.374344754,0.581168215,0.359104768,0.07316302,0.561738648,0.286270039,13.0,18.0,20.0
35204768001,3520005,Toronto,535.0,Toronto,35,ON,0.079299669,0.165130756,0.078189078,0.018574993,0.247343914,0.066819325,29.0,31.0,33.0
35204768002,3520005,Toronto,535.0,Toronto,35,ON,0.086957329,0.180902463,0.086665369,0.021233115,0.267884068,0.069617465,28.0,29.0,31.0
35204768003,3520005,Toronto,535.0,Toronto,35,ON,0.117887103,0.231584135,0.114402876,0.028905295,0.33520437,0.099609729,23.0,25.0,27.0
35204769001,3520005,Toronto,535.0,Toronto,35,ON,0.043704044,0.099028037,0.044273531,0.006719491,0.165833577,0.026681542,28.0,38.0,1000.0
35204769002,3520005,Toronto,535.0,Toronto,35,ON,0.05747035,0.124717286,0.05792806,0.012848085,0.198578015,0.037201841,25.0,34.0,38.0
35204769003,3520005,Toronto,535.0,Toronto,35,ON,0.041140927,0.094258799,0.042661695,0.006491734,0.160782284,0.024928933,30.0,39.0,1000.0
35204769004,3520005,Toronto,535.0,Toronto,35,ON,0.055864744,0.12478971,0.05834317,0.010822692,0.200474579,0.036131716,28.0,36.0,36.0
35204770001,3520005,Toronto,535.0,Toronto,35,ON,0.12372011,0.23544619,0.13022521,0.02697189,0.350481554,0.122079685,15.0,15.0,18.0
35204770002,3520005,Toronto,535.0,Toronto,35,ON,0.092285595,0.186259115,0.096382126,0.02367262,0.274637504,0.094362528,20.0,20.0,23.0
35204770003,3520005,Toronto,535.0,Toronto,35,ON,0.108738653,0.213065553,0.114849454,0.025557871,0.315916294,0.10780259,17.0,17.0,20.0
35204770004,3520005,Toronto,535.0,Toronto,35,ON,0.086714602,0.178611077,0.091171632,0.022870237,0.265025454,0.088977426,21.0,21.0,24.0
35204770005,3520005,Toronto,535.0,Toronto,35,ON,0.117066355,0.225279681,0.123413393,0.026057678,0.335126784,0.115991718,16.0,16.0,19.0
35204770006,3520005,Toronto,535.0,Toronto,35,ON,0.098152352,0.19480641,0.10343398,0.024106802,0.292499573,0.09697823,19.0,19.0,22.0
35204771002,3520005,Toronto,535.0,Toronto,35,ON,0.062879199,0.142835156,0.066575084,0.016350704,0.206913627,0.058648581,9.0,27.0,30.0
35204771003,3520005,Toronto,535.0,Toronto,35,ON,0.104861747,0.206787699,0.109539907,0.024691587,0.309182394,0.099831438,0.0,18.0,21.0
35204771004,3520005,Toronto,535.0,Toronto,35,ON,0.07120796,0.154397276,0.074947836,0.020166592,0.228672607,0.068799542,11.0,25.0,28.0
35204772004,3520005,Toronto,535.0,Toronto,35,ON,0.285612101,0.472324649,0.280376052,0.051871106,0.53018975,0.240019026,13.0,24.0,24.0
35204772005,3520005,Toronto,535.0,Toronto,35,ON,0.258572009,0.433893736,0.254890634,0.046908685,0.487783796,0.221722379,17.0,25.0,26.0
35204772006,3520005,Toronto,535.0,Toronto,35,ON,0.292325149,0.481120454,0.283556789,0.051474042,0.542063238,0.239993399,9.0,23.0,25.0
35204773001,3520005,Toronto,535.0,Toronto,35,ON,0.256936068,0.419525779,0.250975056,0.045557038,0.471785288,0.220660444,7.0,27.0,28.0
35204773002,3520005,Toronto,535.0,Toronto,35,ON,0.264908681,0.443421311,0.261475073,0.047893901,0.496796955,0.228592632,17.0,24.0,26.0
35204773003,3520005,Toronto,535.0,Toronto,35,ON,0.293434409,0.481433577,0.287350098,0.052227452,0.540876366,0.245539546,7.0,24.0,25.0
35204774002,3520005,Toronto,535.0,Toronto,35,ON,0.304258954,0.492360287,0.299872331,0.054826914,0.555626797,0.261599943,18.0,22.0,23.0
35204775002,3520005,Toronto,535.0,Toronto,35,ON,0.344318723,0.534963412,0.335733108,0.061257436,0.608213092,0.297672367,16.0,21.0,23.0
35204775003,3520005,Toronto,535.0,Toronto,35,ON,0.317848429,0.499318666,0.308889941,0.057175171,0.568606214,0.274870454,22.0,24.0,25.0
35204775004,3520005,Toronto,535.0,Toronto,35,ON,0.366227906,0.563298544,0.357148096,0.063406603,0.641824363,0.316769945,15.0,20.0,22.0
35204776001,3520005,Toronto,535.0,Toronto,35,ON,0.25379469,0.296155774,0.159892289,0.056795859,0.317717382,0.111274527,23.0,26.0,31.0
35204776002,3520005,Toronto,535.0,Toronto,35,ON,0.288914279,0.332979538,0.182614284,0.063040433,0.35428856,0.126529066,19.0,23.0,28.0
35204777001,3520005,Toronto,535.0,Toronto,35,ON,0.278576736,0.32590953,0.178776274,0.061117908,0.344680429,0.127720053,20.0,27.0,29.0
35204777002,3520005,Toronto,535.0,Toronto,35,ON,0.339145102,0.390959373,0.21741436,0.070823684,0.413682282,0.151722085,16.0,19.0,25.0
35204778001,3520005,Toronto,535.0,Toronto,35,ON,0.197793764,0.336031762,0.146926502,0.045672972,0.401487495,0.083386022,14.0,19.0,25.0
35204778002,3520005,Toronto,535.0,Toronto,35,ON,0.208448763,0.354214833,0.148553199,0.043924599,0.404804149,0.082895957,15.0,23.0,26.0
35204779001,3520005,Toronto,535.0,Toronto,35,ON,0.206353973,0.340715369,0.152775887,0.047275371,0.414771889,0.087942694,14.0,18.0,24.0
35204780001,3520005,Toronto,535.0,Toronto,35,ON,0.191254903,0.328366803,0.140030312,0.04036781,0.386911281,0.078530141,7.0,23.0,24.0
35204780002,3520005,Toronto,535.0,Toronto,35,ON,0.209750097,0.352925852,0.155011484,0.045022333,0.416284921,0.090184015,6.0,20.0,22.0
35204780003,3520005,Toronto,535.0,Toronto,35,ON,0.172845938,0.303200283,0.131648651,0.041017188,0.362259972,0.074835997,0.0,20.0,24.0
35204780004,3520005,Toronto,535.0,Toronto,35,ON,0.185118595,0.319492887,0.136704812,0.039614428,0.379315603,0.077058023,7.0,23.0,24.0
35204780005,3520005,Toronto,535.0,Toronto,35,ON,0.167475809,0.296691305,0.130003763,0.04159632,0.357541051,0.071966196,1.0,21.0,25.0
35204781001,3520005,Toronto,535.0,Toronto,35,ON,0.166343924,0.306433067,0.153371422,0.035267058,0.439754756,0.132625548,16.0,16.0,20.0
35204781002,3520005,Toronto,535.0,Toronto,35,ON,0.14833354,0.276686523,0.135623249,0.033110797,0.409910064,0.109221617,15.0,19.0,19.0
35204781003,3520005,Toronto,535.0,Toronto,35,ON,0.136068327,0.256589757,0.12353804,0.029371069,0.384618304,0.100480664,16.0,20.0,21.0
35204781004,3520005,Toronto,535.0,Toronto,35,ON,0.1404352,0.264337086,0.127913493,0.032075233,0.394300483,0.103208323,16.0,20.0,20.0
35204781008,3520005,Toronto,535.0,Toronto,35,ON,0.136943621,0.259408404,0.124096,0.029371069,0.38619095,0.100909342,16.0,20.0,21.0
35204781009,3520005,Toronto,535.0,Toronto,35,ON,0.114921557,0.226433374,0.105677965,0.02629399,0.340753269,0.087969096,21.0,23.0,25.0
35204785001,3520005,Toronto,535.0,Toronto,35,ON,0.07088257,0.156445509,0.058619645,0.017372184,0.236011215,0.04706136,23.0,30.0,31.0
35204785002,3520005,Toronto,535.0,Toronto,35,ON,0.076948552,0.167144315,0.063683815,0.01809595,0.249833391,0.050804045,22.0,28.0,29.0
35204785003,3520005,Toronto,535.0,Toronto,35,ON,0.110286393,0.220465729,0.092307209,0.022114856,0.32019558,0.073484449,16.0,23.0,23.0
35204785004,3520005,Toronto,535.0,Toronto,35,ON,0.098358103,0.202211501,0.081972847,0.020772275,0.296260276,0.066044671,18.0,24.0,25.0
35204785006,3520005,Toronto,535.0,Toronto,35,ON,0.091197902,0.190547882,0.075179675,0.019941467,0.281419988,0.06053874,19.0,26.0,26.0
35204785007,3520005,Toronto,535.0,Toronto,35,ON,0.075992916,0.166075385,0.062871096,0.017981673,0.247383761,0.050379012,22.0,28.0,29.0
35204786001,3520005,Toronto,535.0,Toronto,35,ON,0.072359225,0.15688544,0.063981002,0.016663863,0.244366632,0.052121081,26.0,32.0,32.0
35204786002,3520005,Toronto,535.0,Toronto,35,ON,0.095033431,0.194822226,0.089142246,0.021363327,0.295301423,0.073551815,24.0,25.0,28.0
35204786007,3520005,Toronto,535.0,Toronto,35,ON,0.091035816,0.187927827,0.085542274,0.021170969,0.286070298,0.07131431,25.0,25.0,29.0
35204786008,3520005,Toronto,535.0,Toronto,35,ON,0.089875735,0.188074364,0.083854425,0.020642477,0.286032416,0.069725604,25.0,26.0,28.0
35204787001,3520005,Toronto,535.0,Toronto,35,ON,0.158415448,0.276443236,0.115837924,0.035526137,0.346275777,0.073790693,24.0,28.0,29.0
