DBUID,CSDUID,CSDNAME,CMAUID,CMANAME,PRUID,PRCODE,acs_idx_hf,acs_idx_emp,acs_idx_srf,acs_idx_psef,acs_idx_ef,acs_idx_caf,acs_lvl_gs-1,acs_lvl_gs-3,acs_lvl_gs-5
35200058001,3520005,Toronto,535.0,Toronto,35,ON,0.043282135,0.135682936,0.035722363,0.0,0.266469277,0.027703667,3.44475,3.44475,3.44475
35200062001,3520005,Toronto,535.0,Toronto,35,ON,0.024510259,0.129606409,0.033725899,0.0,0.210582471,0.003554294,3.560983333,3.560983333,3.560983333
35200062002,3520005,Toronto,535.0,Toronto,35,ON,0.026988135,0.128166683,0.034311155,0.0,0.219608429,0.003784757,3.5427,3.625933333,3.625933333
35200062003,3520005,Toronto,535.0,Toronto,35,ON,0.024415632,0.126329482,0.033316892,0.0,0.19429433,0.0034891,3.829416667,3.829416667,3.829416667
35200064002,3520005,Toronto,535.0,Toronto,35,ON,0.05511641,0.032547552,0.034405784,0.0,0.178366121,0.014104295,4.131883333,5.9368,10.45076667
35200064003,3520005,Toronto,535.0,Toronto,35,ON,0.053744276,0.034407008,0.033274038,0.0,0.167197219,0.013458225,4.268966667,5.337166667,9.8874
35200064004,3520005,Toronto,535.0,Toronto,35,ON,0.058480375,0.034891941,0.035137225,0.0,0.211013869,0.014639524,2.865766667,5.788116667,1000.0
35200065001,3520005,Toronto,535.0,Toronto,35,ON,0.052994857,0.035320685,0.033306084,0.0,0.151097535,0.013082838,4.18695,4.824,9.013516667
35200065002,3520005,Toronto,535.0,Toronto,35,ON,0.052563904,0.03487736,0.033435932,0.0,0.152240427,0.013134831,4.4049,8.430733333,9.33785
35200065003,3520005,Toronto,535.0,Toronto,35,ON,0.052416905,0.033726182,0.033008295,0.0,0.152594752,0.013295476,4.445366667,5.513566667,9.372433333
35200066001,3520005,Toronto,535.0,Toronto,35,ON,0.053327455,0.034835581,0.033258606,0.0,0.171895354,0.013054553,4.21835,4.91055,9.2787
35200066002,3520005,Toronto,535.0,Toronto,35,ON,0.055355542,0.035911734,0.034056611,0.0,0.19236774,0.01354474,3.566616667,5.74235,8.626983333
35200067002,3520005,Toronto,535.0,Toronto,35,ON,0.063437809,0.037767498,0.03364539,0.0,0.184528693,0.013641936,3.5225,5.409466667,6.255983333
35200067003,3520005,Toronto,535.0,Toronto,35,ON,0.063113981,0.039413868,0.018113949,0.0,0.181196054,0.013264915,2.51485,4.945466667,5.815833333
35200067004,3520005,Toronto,535.0,Toronto,35,ON,0.06287287,0.038214419,0.025940768,0.0,0.162158333,0.014855023,3.048533333,4.566866667,7.121316667
35200068001,3520005,Toronto,535.0,Toronto,35,ON,0.063667974,0.040739705,0.018010256,0.0,0.193511775,0.016176209,2.64115,5.07175,5.5462
35200068002,3520005,Toronto,535.0,Toronto,35,ON,0.062381494,0.038657471,0.033507878,0.0,0.183887506,0.013557415,3.040766667,5.471383333,5.77425
35200069001,3520005,Toronto,535.0,Toronto,35,ON,0.069773727,0.042133821,0.03489885,0.0,0.208295891,0.0169313,2.5438,5.386466667,7.47805
35200070001,3520005,Toronto,535.0,Toronto,35,ON,0.069082678,0.042792583,0.027582449,0.0,0.20408726,0.01112374,1.930483333,4.49355,6.177016667
35200070002,3520005,Toronto,535.0,Toronto,35,ON,0.069440341,0.042452343,0.027486792,0.0,0.19419302,0.011091803,1.70985,5.249833333,5.9564
35200070003,3520005,Toronto,535.0,Toronto,35,ON,0.067937613,0.0425655,0.027105911,0.0,0.192281698,0.010859441,2.016833333,5.11895,6.263383333
35200071001,3520005,Toronto,535.0,Toronto,35,ON,0.074476756,0.041922407,0.027977166,0.0,0.229729175,0.01079737,1.70255,4.957516667,6.372916667
35200071002,3520005,Toronto,535.0,Toronto,35,ON,0.075359691,0.041798663,0.027963963,0.0,0.228851221,0.011744079,0.138983333,5.0795,6.386666667
35200072001,3520005,Toronto,535.0,Toronto,35,ON,0.075097773,0.042321105,0.028145759,0.0,0.231811363,0.011094821,1.94925,5.279933333,6.695333333
35200072002,3520005,Toronto,535.0,Toronto,35,ON,0.070256964,0.042527228,0.027680097,0.0,0.229475764,0.011187274,1.808816667,4.514433333,7.629216667
35200073002,3520005,Toronto,535.0,Toronto,35,ON,0.083438162,0.042985625,0.028690338,0.0,0.254411069,0.012893283,1.860166667,4.610383333,7.34385
35200073003,3520005,Toronto,535.0,Toronto,35,ON,0.075562355,0.042260489,0.028049274,0.0,0.228871527,0.011709249,0.0,5.1869,6.49405
35200074001,3520005,Toronto,535.0,Toronto,35,ON,0.090592295,0.042656583,0.029330329,0.0,0.255105454,0.012894631,2.295083333,5.242483333,7.975966667
35200074002,3520005,Toronto,535.0,Toronto,35,ON,0.097943681,0.043898122,0.029891905,0.0,0.269079442,0.012926512,2.0384,4.985816667,7.587
35200078001,3520005,Toronto,535.0,Toronto,35,ON,0.072392536,0.04179592,0.041107756,0.0,0.255128351,0.014225459,1.977833333,9.183833333,1000.0
35200078002,3520005,Toronto,535.0,Toronto,35,ON,0.074270121,0.043586625,0.040765838,0.0,0.26410588,0.010661875,2.411633333,8.527166667,10.575
35200079001,3520005,Toronto,535.0,Toronto,35,ON,0.067043051,0.037895985,0.035503883,0.0,0.229734114,0.01528726,1.178033333,7.1899,1000.0
35200079002,3520005,Toronto,535.0,Toronto,35,ON,0.073243499,0.04195655,0.035860714,0.0,0.243146731,0.015499608,0.0,8.151883333,1000.0
35200080001,3520005,Toronto,535.0,Toronto,35,ON,0.067118013,0.03854311,0.035556753,0.0,0.24796735,0.015776408,1.15155,6.915683333,1000.0
35200080002,3520005,Toronto,535.0,Toronto,35,ON,0.061934424,0.036895048,0.048698429,0.0,0.280426644,0.013935577,3.4557,9.244833333,9.319333333
35200082001,3520005,Toronto,535.0,Toronto,35,ON,0.058011225,0.033159574,0.034167552,0.0,0.242765589,0.013935852,4.596683333,7.887716667,8.49365
35200082002,3520005,Toronto,535.0,Toronto,35,ON,0.057976769,0.032273996,0.034185593,0.0,0.221618091,0.013936522,4.4562,8.0173,8.353166667
35200085001,3520005,Toronto,535.0,Toronto,35,ON,0.074744668,0.043490157,0.049504762,0.0,0.271789849,0.014152557,2.052333333,8.33105,10.37888333
35200085002,3520005,Toronto,535.0,Toronto,35,ON,0.075670059,0.043236542,0.049925707,0.0,0.275225507,0.01436818,1.833083333,8.211966667,1000.0
35200085003,3520005,Toronto,535.0,Toronto,35,ON,0.074258893,0.042356603,0.049396749,0.0,0.273581205,0.014463772,1.736933333,10.4757,1000.0
35200086001,3520005,Toronto,535.0,Toronto,35,ON,0.072049653,0.036292209,0.04994128,0.0,0.294182976,0.013647889,3.374183333,9.845166667,10.06228333
35200086002,3520005,Toronto,535.0,Toronto,35,ON,0.075211424,0.037272784,0.051290535,0.0,0.308028693,0.014267197,2.618333333,8.392533333,9.089316667
35200086003,3520005,Toronto,535.0,Toronto,35,ON,0.073633395,0.04023292,0.05053691,0.0,0.299522622,0.013895615,3.11335,8.641433333,8.662616667
35200087001,3520005,Toronto,535.0,Toronto,35,ON,0.07987508,0.054920702,0.073360379,0.0,0.331999755,0.012726737,4.483083333,7.629333333,8.173466667
35200087003,3520005,Toronto,535.0,Toronto,35,ON,0.084296126,0.057641222,0.074658312,0.0,0.341054215,0.007034459,4.085383333,7.231633333,7.792983333
35200087004,3520005,Toronto,535.0,Toronto,35,ON,0.089067399,0.07047718,0.074183539,0.0,0.338341314,0.006289949,5.2851,6.459866667,7.749366667
35200087005,3520005,Toronto,535.0,Toronto,35,ON,0.084096796,0.073935523,0.081402854,0.0,0.311832116,0.006289385,5.1439,6.937283333,7.608183333
35200088001,3520005,Toronto,535.0,Toronto,35,ON,0.078830742,0.057327422,0.077101009,0.0,0.307471685,0.006664673,4.868366667,7.420166667,10.03255
35200088002,3520005,Toronto,535.0,Toronto,35,ON,0.08235769,0.058129133,0.073134965,0.0,0.314307481,0.007151631,3.84585,7.1272,9.010016667
35200088003,3520005,Toronto,535.0,Toronto,35,ON,0.081234255,0.058464427,0.071556698,0.0,0.318610948,0.006806956,4.562083333,7.113883333,9.72625
35200089001,3520005,Toronto,535.0,Toronto,35,ON,0.076718507,0.035617997,0.056419088,0.0,0.268651517,0.00672066,4.747083333,6.9456,9.91125
35200089002,3520005,Toronto,535.0,Toronto,35,ON,0.079810075,0.056737115,0.064992196,0.0,0.312178908,0.006817283,4.540083333,6.595133333,9.731333333
35200089003,3520005,Toronto,535.0,Toronto,35,ON,0.075651297,0.058632509,0.072508451,0.0,0.313930128,0.006980101,4.19785,6.775183333,9.362016667
35200089004,3520005,Toronto,535.0,Toronto,35,ON,0.074160186,0.056823774,0.072640146,0.0,0.314973383,0.007354757,3.43975,7.545316667,8.926
35200090001,3520005,Toronto,535.0,Toronto,35,ON,0.078434273,0.06559432,0.079902447,0.0,0.321543205,0.006149419,4.767216667,6.0351,7.575783333
35200090002,3520005,Toronto,535.0,Toronto,35,ON,0.088894608,0.06161865,0.072138575,0.0,0.316617548,0.007356143,4.600916667,6.293,7.205566667
35200090003,3520005,Toronto,535.0,Toronto,35,ON,0.079046979,0.07268235,0.080683854,0.0,0.326689546,0.006299522,4.63045,5.8,7.439
